times,flux,flux_err
3.226329949860692068e+03,1.000253200531005859e+00,8.555122102388499879e-04
3.226332264785266489e+03,9.993250966072082520e-01,8.555122102388499879e-04
3.226334579709841364e+03,9.991635680198669434e-01,8.555122102388499879e-04
3.226336894634416694e+03,9.990501403808593750e-01,8.555122102388499879e-04
3.226339209558992479e+03,1.000938773155212402e+00,8.555122102388499879e-04
3.226341524483567810e+03,1.000149726867675781e+00,8.555122102388499879e-04
3.226343839408142685e+03,9.996019005775451660e-01,8.555122102388499879e-04
3.226346154332717560e+03,9.985410571098327637e-01,8.555122102388499879e-04
3.226348469257292436e+03,9.989227056503295898e-01,8.555122102388499879e-04
3.226350784181867311e+03,9.986866712570190430e-01,8.555122102388499879e-04
3.226353099106442642e+03,1.000489950180053711e+00,8.555122102388499879e-04
3.226355414031018427e+03,9.995410442352294922e-01,8.555122102388499879e-04
3.226357728955592393e+03,1.000710725784301758e+00,8.555122102388499879e-04
3.226360043879702516e+03,9.988878369331359863e-01,8.555122102388499879e-04
3.226362358804276937e+03,9.994878768920898438e-01,8.555122102388499879e-04
3.226364673728852722e+03,9.997879266738891602e-01,8.555122102388499879e-04
3.226366988653427597e+03,1.000193476676940918e+00,8.555122102388499879e-04
3.226369303577536357e+03,9.990173578262329102e-01,8.555122102388499879e-04
3.226371618502112597e+03,9.991840720176696777e-01,8.555122102388499879e-04
3.226373933426687017e+03,9.995842576026916504e-01,8.555122102388499879e-04
3.226376248350796686e+03,1.000784397125244141e+00,8.555122102388499879e-04
3.226378563275371562e+03,9.992734193801879883e-01,8.555122102388499879e-04
3.226380878199480321e+03,1.000357508659362793e+00,8.555122102388499879e-04
3.226383193124055651e+03,9.990103244781494141e-01,8.555122102388499879e-04
3.226385508048164411e+03,1.000619649887084961e+00,8.555122102388499879e-04
3.226387822972740651e+03,1.000180363655090332e+00,8.555122102388499879e-04
3.226390137896849865e+03,1.000605344772338867e+00,8.555122102388499879e-04
3.226392452821424286e+03,9.997216463088989258e-01,8.555122102388499879e-04
3.226394767745534409e+03,1.000728130340576172e+00,8.555122102388499879e-04
3.226397082670110649e+03,9.995817542076110840e-01,8.555122102388499879e-04
3.226399397594219408e+03,1.000567913055419922e+00,8.555122102388499879e-04
3.226401712518329532e+03,1.000880479812622070e+00,8.555122102388499879e-04
3.226404027442439656e+03,1.000607132911682129e+00,8.555122102388499879e-04
3.226406342367014531e+03,9.975305199623107910e-01,8.555122102388499879e-04
3.226408657291123291e+03,9.995715022087097168e-01,8.555122102388499879e-04
3.226410972215232960e+03,9.994020462036132812e-01,8.555122102388499879e-04
3.226413287139342629e+03,9.981200098991394043e-01,8.555122102388499879e-04
3.226415602063917504e+03,1.000847935676574707e+00,8.555122102388499879e-04
3.226417916988026718e+03,1.000576138496398926e+00,8.555122102388499879e-04
3.226420231912136387e+03,1.000633239746093750e+00,8.555122102388499879e-04
3.226422546836246056e+03,1.000559091567993164e+00,8.555122102388499879e-04
3.226424861760354815e+03,9.995645880699157715e-01,8.555122102388499879e-04
3.226427176684464030e+03,1.000337481498718262e+00,8.555122102388499879e-04
3.226429491608573699e+03,9.992665052413940430e-01,8.555122102388499879e-04
3.226431806532682913e+03,1.000860214233398438e+00,8.555122102388499879e-04
3.226434121456792582e+03,9.999096393585205078e-01,8.555122102388499879e-04
3.226436436380902705e+03,9.999005198478698730e-01,8.555122102388499879e-04
3.226438751305011920e+03,1.000926852226257324e+00,8.555122102388499879e-04
3.226441066229121134e+03,9.999798536300659180e-01,8.555122102388499879e-04
3.226443381152764232e+03,9.983632564544677734e-01,8.555122102388499879e-04
3.226445696076873446e+03,1.002014875411987305e+00,8.555122102388499879e-04
3.226448011000983570e+03,1.000557780265808105e+00,8.555122102388499879e-04
3.226450325925092329e+03,1.000035524368286133e+00,8.555122102388499879e-04
3.226452640848736337e+03,9.984046816825866699e-01,8.555122102388499879e-04
3.226454955772846006e+03,1.000506639480590820e+00,8.555122102388499879e-04
3.226457270696955675e+03,1.001480460166931152e+00,8.555122102388499879e-04
3.226459585620598773e+03,9.993793368339538574e-01,8.555122102388499879e-04
3.226461900544708442e+03,1.000911712646484375e+00,8.555122102388499879e-04
3.226464215468818111e+03,1.001142501831054688e+00,8.555122102388499879e-04
3.226466530392461664e+03,9.993127584457397461e-01,8.555122102388499879e-04
3.226468845316571333e+03,1.001496911048889160e+00,8.555122102388499879e-04
3.226471160240214886e+03,1.001020431518554688e+00,8.555122102388499879e-04
3.226473475164324554e+03,9.989300966262817383e-01,8.555122102388499879e-04
3.226475790087968562e+03,9.997724890708923340e-01,8.555122102388499879e-04
3.226478105012078686e+03,1.000468611717224121e+00,8.555122102388499879e-04
